"vid","cid","id","source","project","pcode","name","visit_date","visit_onsite","visit_onsite_novisitreason","geom","longitude","latitude","location_origin","province","province_old","territoire","collectivite","groupement","village","workers_numb","access_dry","access_wet","is_3t_mine","is_gold_mine","mineral1","selling_points_mineral1","final_destination_mineral1","mineral2","selling_points_mineral2","final_destination_mineral2","mineral3","selling_points_mineral3","final_destination_mineral3","mercury","presence","interference","armed_group1","type_armed_group1","frequency_armed_group1","taxation_armed_group1","commerce_taxation_armed_group1","entrance_taxation_armed_group1","monopoly_armed_group1","buying_minerals_armed_group1","digging_armed_group1","forced_labour_armed_group1","pillaging_armed_group1","pit_ownership_armed_group1","armed_group2","type_armed_group2","frequency_armed_group2","taxation_armed_group2","commerce_taxation_armed_group2","entrance_taxation_armed_group2","monopoly_armed_group2","buying_minerals_armed_group2","digging_armed_group2","forced_labour_armed_group2","pillaging_armed_group2","pit_ownership_armed_group2","armed_group3","type_armed_group3","frequency_armed_group3","taxation_armed_group3","commerce_taxation_armed_group3","entrance_taxation_armed_group3","monopoly_armed_group3","buying_minerals_armed_group3","digging_armed_group3","forced_labour_armed_group3","pillaging_armed_group3","pit_ownership_armed_group3","mechanisation","state_service1","state_service2","state_service3","state_service4","traceability","qualification","childunder15","childunder15work","women","womenwork"
1,1,1,"IPIS - Ministère des Mines","IPIS - 2009","codmine00191","Eohe","2009-01-01",1,,"0101000020E610000019533F6E1BB73C40099869E9C091D53F",28.71526230855952,0.3370210914057457,"GPS","Nord-Kivu","Nord-Kivu","Lubero","Bapere","Baredje","Maendeleo",300,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,"IPIS - Ministère des Mines","IPIS - 2009","codmine00192","Eita","2009-01-01",1,,"0101000020E6100000DEAB5626FCB23C404EB4AB90F293D43F",28.69916,0.32153,"GPS","Nord-Kivu","Nord-Kivu","Lubero","Bapere","Baredje","Tembe",110,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,"IPIS - Ministère des Mines","IPIS - 2009","codmine00242","Mungu Iko","2009-01-01",1,,"0101000020E61000007075597C652F3C4096751A899270E13F",28.1851422995,0.5449917486,"GPS (Approximation)","Nord-Kivu","Nord-Kivu","Lubero","Bapere","Bapaitumba","Ehoto",,,,1,1,"Or",,,"Coltan",,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,"Maï-Maï Simba","Groupe armé local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,"IPIS - Ministère des Mines","IPIS - 2009","codmine00260","Kiviri/Tayna","2009-01-01",1,,"0101000020E61000007365506D70E23C40B60F79CBD58FD6BF",28.884528,-0.352529,"GPS","Nord-Kivu","Nord-Kivu","Lubero","Bamate","Luenge","Vunyakavulivwa",,,,0,1,"Or",,,"Diamant",,,,,,,1,,"FDLR","Groupe armé étranger",,,,,,,,,,,"Maï-Maï","Groupe armé local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,"IPIS - Ministère des Mines","IPIS - 2009","codmine00272","Makanga","2009-01-01",1,,"0101000020E6100000FA6184F068E73C40198C118942CBA2BF",28.903945,-0.036707,"GPS","Nord-Kivu","Nord-Kivu","Lubero","Batangi","Musindi","Ngohi",,,,0,1,"Or",,,"Diamant",,,,,,,1,,"FDLR","Groupe armé étranger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,"IPIS - Ministère des Mines","IPIS - 2009","codmine00286","Kasongo","2009-01-01",1,,"0101000020E6100000D52137C30D6C3D40A9C979EC5466EC3F",29.422085,0.8874916666666667,"GPS","Nord-Kivu","Nord-Kivu","Beni","Beni-Mbau","Batangi-Mbau","Mamove",50,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,"IPIS - Ministère des Mines","IPIS - 2009","codmine00288","Mununze","2009-01-01",1,,"0101000020E610000012312592E83D3D403A5D16139B0FE33F",29.24183,0.595655,"GPS","Nord-Kivu","Nord-Kivu","Beni","Beni-Mbau","Baswagha-Madiwe","Mununze",20,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,"IPIS - Ministère des Mines","IPIS - 2009","codmine00290","Kiboto","2009-01-01",1,,"0101000020E6100000473D44A33B183D40658BA4DDE863DD3F",29.09466,0.459223,"GPS","Nord-Kivu","Nord-Kivu","Beni","Beni-Mbau","Baswagha-Madiwe","Cantine/Aloya",300,,,0,1,"Or",,,,,,,,,,0,,,"Aucun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,"IPIS - Ministère des Mines","IPIS - 2009","codmine00307","Ruzirantaka (rivière)","2009-01-01",1,,"0101000020E6100000EBAC16D863E23C40541A31B3CF23FBBF",28.884336,-1.696243,"GPS","Nord-Kivu","Nord-Kivu","Masisi","Bahunde","Muvunyi-Shanga","Ruzirantaka",27,,,1,0,"Cassitérite",,,"Tourmaline",,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,"IPIS - Ministère des Mines","IPIS - 2009","codmine00309","D3 Bibatama","2009-01-01",1,,"0101000020E610000044149337C0E43C400B462575025AF9BF",28.893558,-1.584475,"GPS","Nord-Kivu","Nord-Kivu","Masisi","Bahunde","Muvunyi-Karuba","Rugeshi/Humule",1150,,,1,0,"Cassitérite",,,"Coltan",,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11,"IPIS - Ministère des Mines","IPIS - 2009","codmine00311","D4 Gakombe","2009-01-01",1,,"0101000020E6100000BF61A2410AE23C40A14D0E9F7422F9BF",28.882969,-1.570912,"GPS","Nord-Kivu","Nord-Kivu","Masisi","Bahunde","Matanda","Karambayiro/Luhundje",700,,,1,0,"Coltan",,,,,,,,,,1,,"FARDC","FARDC - Pas de données sur les ingérences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
